Mail Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Pendant of Malefic Fury,251142,"+1,572 Stamina
+107 Haste
+233 Mastery","+1,629 Stamina
+109 Haste
+237 Mastery","+1,689 Stamina
+111 Haste
+242 Mastery","+1,768 Stamina
+114 Haste
+248 Mastery","+1,830 Stamina
+116 Haste
+253 Mastery","+1,895 Stamina
+118 Haste
+258 Mastery",https://www.wowhead.com/item=251142
Permafrost Essence,250244,"Equip: You gain Nalorakk's Favor of Enduring. Taking damage has a chance to grant a Mark of Frost, increasing your Critical Strike by 75 for 15 sec. Stacks up to 10 times.
If your health falls below 25%, the reservoir ruptures, consuming all marks to form a Frost Barrier that absorbs 55014 damage per mark for 10 sec.","Equip: You gain Nalorakk's Favor of Enduring. Taking damage has a chance to grant a Mark of Frost, increasing your Critical Strike by 76 for 15 sec. Stacks up to 10 times.
If your health falls below 25%, the reservoir ruptures, consuming all marks to form a Frost Barrier that absorbs 56711 damage per mark for 10 sec.","Equip: You gain Nalorakk's Favor of Enduring. Taking damage has a chance to grant a Mark of Frost, increasing your Critical Strike by 78 for 15 sec. Stacks up to 10 times.
If your health falls below 25%, the reservoir ruptures, consuming all marks to form a Frost Barrier that absorbs 58459 damage per mark for 10 sec.","Equip: You gain Nalorakk's Favor of Enduring. Taking damage has a chance to grant a Mark of Frost, increasing your Critical Strike by 79 for 15 sec. Stacks up to 10 times.
If your health falls below 25%, the reservoir ruptures, consuming all marks to form a Frost Barrier that absorbs 60874 damage per mark for 10 sec.","Equip: You gain Nalorakk's Favor of Enduring. Taking damage has a chance to grant a Mark of Frost, increasing your Critical Strike by 80 for 15 sec. Stacks up to 10 times.
If your health falls below 25%, the reservoir ruptures, consuming all marks to form a Frost Barrier that absorbs 62749 damage per mark for 10 sec.","Equip: You gain Nalorakk's Favor of Enduring. Taking damage has a chance to grant a Mark of Frost, increasing your Critical Strike by 81 for 15 sec. Stacks up to 10 times.
If your health falls below 25%, the reservoir ruptures, consuming all marks to form a Frost Barrier that absorbs 64683 damage per mark for 10 sec.",https://www.wowhead.com/item=250244
Pilfered Precious Band,251148,"+1,572 Stamina
+136 Critical Strike
+204 Versatility
""""The Hoardmonger was strangely attached to this 'precious' ring.""""","+1,629 Stamina
+138 Critical Strike
+208 Versatility
""""The Hoardmonger was strangely attached to this 'precious' ring.""""","+1,689 Stamina
+141 Critical Strike
+212 Versatility
""""The Hoardmonger was strangely attached to this 'precious' ring.""""","+1,768 Stamina
+145 Critical Strike
+217 Versatility
""""The Hoardmonger was strangely attached to this 'precious' ring.""""","+1,830 Stamina
+148 Critical Strike
+221 Versatility
""""The Hoardmonger was strangely attached to this 'precious' ring.""""","+1,895 Stamina
+150 Critical Strike
+225 Versatility
""""The Hoardmonger was strangely attached to this 'precious' ring.""""",https://www.wowhead.com/item=251148
Polished Lightwood Channeler,273778,"55 - 92 Damage
Speed 1.80
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+49 Haste
+39 Mastery
Equip: Your damaging spells have a chance to launch a mote of light towards your target, inflicting (9474 * 1) Holy damage split among nearby enemies. Damage increased by 30% per additional enemy, up to 150%.","56 - 95 Damage
Speed 1.80
(41.9 damage per second)
+431 Intellect
+1,448 Stamina
+50 Haste
+40 Mastery
Equip: Your damaging spells have a chance to launch a mote of light towards your target, inflicting (9899 * 1) Holy damage split among nearby enemies. Damage increased by 30% per additional enemy, up to 150%.","58 - 97 Damage
Speed 1.80
(43.1 damage per second)
+443 Intellect
+1,501 Stamina
+51 Haste
+40 Mastery
Equip: Your damaging spells have a chance to launch a mote of light towards your target, inflicting (10341 * 1) Holy damage split among nearby enemies. Damage increased by 30% per additional enemy, up to 150%.","60 - 101 Damage
Speed 1.80
(44.7 damage per second)
+460 Intellect
+1,572 Stamina
+52 Haste
+41 Mastery
Equip: Your damaging spells have a chance to launch a mote of light towards your target, inflicting (10956 * 1) Holy damage split among nearby enemies. Damage increased by 30% per additional enemy, up to 150%.","62 - 104 Damage
Speed 1.80
(46.1 damage per second)
+473 Intellect
+1,627 Stamina
+52 Haste
+42 Mastery
Equip: Your damaging spells have a chance to launch a mote of light towards your target, inflicting (11439 * 1) Holy damage split among nearby enemies. Damage increased by 30% per additional enemy, up to 150%.","64 - 107 Damage
Speed 1.80
(47.5 damage per second)
+486 Intellect
+1,684 Stamina
+53 Haste
+42 Mastery
Equip: Your damaging spells have a chance to launch a mote of light towards your target, inflicting (11940 * 1) Holy damage split among nearby enemies. Damage increased by 30% per additional enemy, up to 150%.",https://www.wowhead.com/item=273778
Pruning Lance,251193,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 [Agility or Strength]
+2,794 Stamina
+112 Haste
+66 Mastery","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 [Agility or Strength]
+2,896 Stamina
+113 Haste
+67 Mastery","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 [Agility or Strength]
+3,002 Stamina
+115 Haste
+68 Mastery","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 [Agility or Strength]
+3,143 Stamina
+117 Haste
+69 Mastery","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 [Agility or Strength]
+3,254 Stamina
+118 Haste
+70 Mastery","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 [Agility or Strength]
+3,369 Stamina
+120 Haste
+71 Mastery",https://www.wowhead.com/item=251193
Pulverizing Pads,251187,"139 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+87 Critical Strike
+47 Haste","142 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+88 Critical Strike
+47 Haste","145 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+89 Critical Strike
+48 Haste","149 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+90 Critical Strike
+49 Haste","152 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+92 Critical Strike
+49 Haste","155 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+93 Critical Strike
+50 Haste",https://www.wowhead.com/item=251187
Resonant Bellowstone,250228,"+137 [Agility or Strength]
Equip: Your damaging abilities have a chance to echo with Xathuux's furious roar, increasing your Critical Strike by 171 for 30 sec.
During this time, each of your attacks increases your Critical Strike by an additional 23, stacking up to a maximum of 5 times. (30s cooldown)","+141 [Agility or Strength]
Equip: Your damaging abilities have a chance to echo with Xathuux's furious roar, increasing your Critical Strike by 173 for 30 sec.
During this time, each of your attacks increases your Critical Strike by an additional 23, stacking up to a maximum of 5 times. (30s cooldown)","+145 [Agility or Strength]
Equip: Your damaging abilities have a chance to echo with Xathuux's furious roar, increasing your Critical Strike by 175 for 30 sec.
During this time, each of your attacks increases your Critical Strike by an additional 24, stacking up to a maximum of 5 times. (30s cooldown)","+150 [Agility or Strength]
Equip: Your damaging abilities have a chance to echo with Xathuux's furious roar, increasing your Critical Strike by 179 for 30 sec.
During this time, each of your attacks increases your Critical Strike by an additional 24, stacking up to a maximum of 5 times. (30s cooldown)","+154 [Agility or Strength]
Equip: Your damaging abilities have a chance to echo with Xathuux's furious roar, increasing your Critical Strike by 181 for 30 sec.
During this time, each of your attacks increases your Critical Strike by an additional 24, stacking up to a maximum of 5 times. (30s cooldown)","+159 [Agility or Strength]
Equip: Your damaging abilities have a chance to echo with Xathuux's furious roar, increasing your Critical Strike by 183 for 30 sec.
During this time, each of your attacks increases your Critical Strike by an additional 25, stacking up to a maximum of 5 times. (30s cooldown)",https://www.wowhead.com/item=250228
Ritual Binder's Ring,159459,"+1,572 Stamina
+223 Haste
+116 Versatility","+1,629 Stamina
+228 Haste
+119 Versatility","+1,689 Stamina
+232 Haste
+121 Versatility","+1,768 Stamina
+238 Haste
+124 Versatility","+1,830 Stamina
+242 Haste
+126 Versatility","+1,895 Stamina
+247 Haste
+129 Versatility",https://www.wowhead.com/item=159459
Royal Purifier's Spade,159646,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 [Agility or Strength]
+2,794 Stamina
+100 Critical Strike
+77 Mastery","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 [Agility or Strength]
+2,896 Stamina
+102 Critical Strike
+78 Mastery","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 [Agility or Strength]
+3,002 Stamina
+103 Critical Strike
+79 Mastery","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 [Agility or Strength]
+3,143 Stamina
+105 Critical Strike
+81 Mastery","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 [Agility or Strength]
+3,254 Stamina
+106 Critical Strike
+82 Mastery","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 [Agility or Strength]
+3,369 Stamina
+107 Critical Strike
+83 Mastery",https://www.wowhead.com/item=159646
Ruby Whelp Shell,193757,"+137 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to call a Ruby Whelpling, which will try to be helpful and assist you in combat.
Use: Call your Ruby Whelpling to inspect your target's situation, teaching them how to be helpful. (1 Day Cooldown)","+141 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to call a Ruby Whelpling, which will try to be helpful and assist you in combat.
Use: Call your Ruby Whelpling to inspect your target's situation, teaching them how to be helpful. (1 Day Cooldown)","+145 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to call a Ruby Whelpling, which will try to be helpful and assist you in combat.
Use: Call your Ruby Whelpling to inspect your target's situation, teaching them how to be helpful. (1 Day Cooldown)","+150 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to call a Ruby Whelpling, which will try to be helpful and assist you in combat.
Use: Call your Ruby Whelpling to inspect your target's situation, teaching them how to be helpful. (1 Day Cooldown)","+154 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to call a Ruby Whelpling, which will try to be helpful and assist you in combat.
Use: Call your Ruby Whelpling to inspect your target's situation, teaching them how to be helpful. (1 Day Cooldown)","+159 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to call a Ruby Whelpling, which will try to be helpful and assist you in combat.
Use: Call your Ruby Whelpling to inspect your target's situation, teaching them how to be helpful. (1 Day Cooldown)",https://www.wowhead.com/item=193757
Sabatons of Coruscating Energy,158353,"154 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+78 Critical Strike
+55 Mastery","157 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+79 Critical Strike
+56 Mastery","161 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+80 Critical Strike
+57 Mastery","165 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+82 Critical Strike
+58 Mastery","168 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+83 Critical Strike
+58 Mastery","172 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+84 Critical Strike
+59 Mastery",https://www.wowhead.com/item=158353
Sapling of the Dawnroot,250259,"+137 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to uproot a Lightspawn Lasher to aid you in combat for 15 sec, dealing up to [1 * (4069 * 10)] Physical damage.
The Lightspawn Lasher then withers, bursting into light-infused sap and inflicting (1 * 10596) Holy damage split among nearby enemies.","+141 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to uproot a Lightspawn Lasher to aid you in combat for 15 sec, dealing up to [1 * (4251 * 10)] Physical damage.
The Lightspawn Lasher then withers, bursting into light-infused sap and inflicting (1 * 11072) Holy damage split among nearby enemies.","+145 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to uproot a Lightspawn Lasher to aid you in combat for 15 sec, dealing up to [1 * (4441 * 10)] Physical damage.
The Lightspawn Lasher then withers, bursting into light-infused sap and inflicting (1 * 11566) Holy damage split among nearby enemies.","+150 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to uproot a Lightspawn Lasher to aid you in combat for 15 sec, dealing up to [1 * (4706 * 10)] Physical damage.
The Lightspawn Lasher then withers, bursting into light-infused sap and inflicting (1 * 12255) Holy damage split among nearby enemies.","+154 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to uproot a Lightspawn Lasher to aid you in combat for 15 sec, dealing up to [1 * (4913 * 10)] Physical damage.
The Lightspawn Lasher then withers, bursting into light-infused sap and inflicting (1 * 12794) Holy damage split among nearby enemies.","+159 [Agility or Strength or Intellect]
Equip: Your spells and abilities have a chance to uproot a Lightspawn Lasher to aid you in combat for 15 sec, dealing up to [1 * (5128 * 10)] Physical damage.
The Lightspawn Lasher then withers, bursting into light-infused sap and inflicting (1 * 13355) Holy damage split among nearby enemies.",https://www.wowhead.com/item=250259
Saptorbane Guards,251185,"123 Armor
+81 [Agility or Intellect]
+1,572 Stamina
+37 Critical Strike
+63 Haste","126 Armor
+83 [Agility or Intellect]
+1,629 Stamina
+38 Critical Strike
+64 Haste","129 Armor
+86 [Agility or Intellect]
+1,689 Stamina
+38 Critical Strike
+64 Haste","132 Armor
+89 [Agility or Intellect]
+1,768 Stamina
+39 Critical Strike
+66 Haste","135 Armor
+91 [Agility or Intellect]
+1,830 Stamina
+39 Critical Strike
+66 Haste","138 Armor
+94 [Agility or Intellect]
+1,895 Stamina
+40 Critical Strike
+67 Haste",https://www.wowhead.com/item=251185
Season's Turn Gauntlets,251151,"139 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+81 Critical Strike
+52 Mastery","142 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+82 Critical Strike
+53 Mastery","145 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+83 Critical Strike
+54 Mastery","149 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+84 Critical Strike
+55 Mastery","152 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+86 Critical Strike
+55 Mastery","155 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+87 Critical Strike
+56 Mastery",https://www.wowhead.com/item=251151
Seed of Radiant Hope,250254,"+137 Intellect
Use: Surround your target ally with Lightblossoms, healing them for [17031 * (8)] over 12 sec.
If their health falls below 50%, the Lightblossoms fully bloom in radiant light, instantly healing them for 153300. (1 Min, 30 Sec Cooldown)","+141 Intellect
Use: Surround your target ally with Lightblossoms, healing them for [17796 * (8)] over 12 sec.
If their health falls below 50%, the Lightblossoms fully bloom in radiant light, instantly healing them for 160181. (1 Min, 30 Sec Cooldown)","+145 Intellect
Use: Surround your target ally with Lightblossoms, healing them for [18590 * (8)] over 12 sec.
If their health falls below 50%, the Lightblossoms fully bloom in radiant light, instantly healing them for 167329. (1 Min, 30 Sec Cooldown)","+150 Intellect
Use: Surround your target ally with Lightblossoms, healing them for [19697 * (8)] over 12 sec.
If their health falls below 50%, the Lightblossoms fully bloom in radiant light, instantly healing them for 177293. (1 Min, 30 Sec Cooldown)","+154 Intellect
Use: Surround your target ally with Lightblossoms, healing them for [20564 * (8)] over 12 sec.
If their health falls below 50%, the Lightblossoms fully bloom in radiant light, instantly healing them for 185102. (1 Min, 30 Sec Cooldown)","+159 Intellect
Use: Surround your target ally with Lightblossoms, healing them for [21465 * (8)] over 12 sec.
If their health falls below 50%, the Lightblossoms fully bloom in radiant light, instantly healing them for 193211. (1 Min, 30 Sec Cooldown)",https://www.wowhead.com/item=250254
Seed of the Devouring Wild,250238,"+137 Strength
Use: Awaken the Bloodthorn Roots, erupting around your target and inflicting (61583 * 1) Nature damage split among nearby enemies. You absorb their essence, gaining 364 Mastery for 10 sec. (1 Min, 30 Sec Cooldown)","+141 Strength
Use: Awaken the Bloodthorn Roots, erupting around your target and inflicting (64347 * 1) Nature damage split among nearby enemies. You absorb their essence, gaining 369 Mastery for 10 sec. (1 Min, 30 Sec Cooldown)","+145 Strength
Use: Awaken the Bloodthorn Roots, erupting around your target and inflicting (67219 * 1) Nature damage split among nearby enemies. You absorb their essence, gaining 374 Mastery for 10 sec. (1 Min, 30 Sec Cooldown)","+150 Strength
Use: Awaken the Bloodthorn Roots, erupting around your target and inflicting (71221 * 1) Nature damage split among nearby enemies. You absorb their essence, gaining 381 Mastery for 10 sec. (1 Min, 30 Sec Cooldown)","+154 Strength
Use: Awaken the Bloodthorn Roots, erupting around your target and inflicting (74358 * 1) Nature damage split among nearby enemies. You absorb their essence, gaining 386 Mastery for 10 sec. (1 Min, 30 Sec Cooldown)","+159 Strength
Use: Awaken the Bloodthorn Roots, erupting around your target and inflicting (77616 * 1) Nature damage split among nearby enemies. You absorb their essence, gaining 391 Mastery for 10 sec. (1 Min, 30 Sec Cooldown)",https://www.wowhead.com/item=250238
Sepulchral Construct's Gloves,159314,"139 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+61 Versatility
+72 Mastery","142 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+62 Versatility
+73 Mastery","145 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+63 Versatility
+74 Mastery","149 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+64 Versatility
+76 Mastery","152 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+64 Versatility
+77 Mastery","155 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+65 Versatility
+78 Mastery",https://www.wowhead.com/item=159314
Sethraliss' Defiled Relic,158368,"+137 Intellect
Use: Curse the target with a Rotten Wound, dealing (105288 * 1) Nature damage over 15 sec.
While the wound persists, your damaging spells have a high chance to deepen the wound, inflicting an additional (6581 * 1) Nature damage. (2 Min Cooldown)","+141 Intellect
Use: Curse the target with a Rotten Wound, dealing (110014 * 1) Nature damage over 15 sec.
While the wound persists, your damaging spells have a high chance to deepen the wound, inflicting an additional (6876 * 1) Nature damage. (2 Min Cooldown)","+145 Intellect
Use: Curse the target with a Rotten Wound, dealing (114924 * 1) Nature damage over 15 sec.
While the wound persists, your damaging spells have a high chance to deepen the wound, inflicting an additional (7183 * 1) Nature damage. (2 Min Cooldown)","+150 Intellect
Use: Curse the target with a Rotten Wound, dealing (121767 * 1) Nature damage over 15 sec.
While the wound persists, your damaging spells have a high chance to deepen the wound, inflicting an additional (7611 * 1) Nature damage. (2 Min Cooldown)","+154 Intellect
Use: Curse the target with a Rotten Wound, dealing (127130 * 1) Nature damage over 15 sec.
While the wound persists, your damaging spells have a high chance to deepen the wound, inflicting an additional (7946 * 1) Nature damage. (2 Min Cooldown)","+159 Intellect
Use: Curse the target with a Rotten Wound, dealing (132699 * 1) Nature damage over 15 sec.
While the wound persists, your damaging spells have a high chance to deepen the wound, inflicting an additional (8294 * 1) Nature damage. (2 Min Cooldown)",https://www.wowhead.com/item=158368
Sethraliss' Fanged Helm,159306,"185 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+100 Critical Strike
+77 Mastery","189 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+102 Critical Strike
+78 Mastery","193 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+103 Critical Strike
+79 Mastery","198 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+105 Critical Strike
+81 Mastery","202 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+106 Critical Strike
+82 Mastery","206 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+107 Critical Strike
+83 Mastery",https://www.wowhead.com/item=159306
Sharpened Lightwood Slasher,275070,"110 - 184 Damage
Speed 1.80
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+51 Critical Strike
+37 Haste
Equip: Your damaging attacks and abilities have a chance to sear your target for 3789 Holy damage.","113 - 189 Damage
Speed 1.80
(83.9 damage per second)
+74 Agility
+1,448 Stamina
+52 Critical Strike
+38 Haste
Equip: Your damaging attacks and abilities have a chance to sear your target for 3959 Holy damage.","116 - 195 Damage
Speed 1.80
(86.4 damage per second)
+76 Agility
+1,501 Stamina
+53 Critical Strike
+38 Haste
Equip: Your damaging attacks and abilities have a chance to sear your target for 4136 Holy damage.","121 - 202 Damage
Speed 1.80
(89.7 damage per second)
+79 Agility
+1,572 Stamina
+54 Critical Strike
+39 Haste
Equip: Your damaging attacks and abilities have a chance to sear your target for 4382 Holy damage.","124 - 208 Damage
Speed 1.80
(92.2 damage per second)
+81 Agility
+1,627 Stamina
+54 Critical Strike
+40 Haste
Equip: Your damaging attacks and abilities have a chance to sear your target for 4575 Holy damage.","128 - 214 Damage
Speed 1.80
(95.0 damage per second)
+84 Agility
+1,684 Stamina
+55 Critical Strike
+40 Haste
Equip: Your damaging attacks and abilities have a chance to sear your target for 4776 Holy damage.",https://www.wowhead.com/item=275070
Sickening Signet of Atroxus,252258,"+1,572 Stamina
+233 Haste
+107 Mastery","+1,629 Stamina
+237 Haste
+109 Mastery","+1,689 Stamina
+242 Haste
+111 Mastery","+1,768 Stamina
+248 Haste
+114 Mastery","+1,830 Stamina
+253 Haste
+116 Mastery","+1,895 Stamina
+258 Haste
+118 Mastery",https://www.wowhead.com/item=252258
Signet of Snarling Servitude,251136,"+1,572 Stamina
+208 Critical Strike
+131 Mastery","+1,629 Stamina
+213 Critical Strike
+134 Mastery","+1,689 Stamina
+217 Critical Strike
+136 Mastery","+1,768 Stamina
+222 Critical Strike
+140 Mastery","+1,830 Stamina
+227 Critical Strike
+142 Mastery","+1,895 Stamina
+231 Critical Strike
+145 Mastery",https://www.wowhead.com/item=251136
Sinseared Repeater,251139,"207 - 310 Damage
Speed 3.00
(86.1 damage per second)
+144 Agility
+2,794 Stamina
+104 Critical Strike
+74 Versatility","213 - 319 Damage
Speed 3.00
(88.6 damage per second)
+148 Agility
+2,896 Stamina
+105 Critical Strike
+75 Versatility","219 - 328 Damage
Speed 3.00
(91.1 damage per second)
+152 Agility
+3,002 Stamina
+107 Critical Strike
+76 Versatility","227 - 341 Damage
Speed 3.00
(94.7 damage per second)
+158 Agility
+3,143 Stamina
+109 Critical Strike
+77 Versatility","234 - 351 Damage
Speed 3.00
(97.4 damage per second)
+162 Agility
+3,254 Stamina
+110 Critical Strike
+78 Versatility","240 - 361 Damage
Speed 3.00
(100.1 damage per second)
+167 Agility
+3,369 Stamina
+112 Critical Strike
+79 Versatility",https://www.wowhead.com/item=251139
Skyferno Rondel,193756,"110 - 184 Damage
Speed 1.80
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+35 Haste
+54 Versatility","113 - 189 Damage
Speed 1.80
(83.9 damage per second)
+74 Agility
+1,448 Stamina
+35 Haste
+55 Versatility","116 - 195 Damage
Speed 1.80
(86.4 damage per second)
+76 Agility
+1,501 Stamina
+36 Haste
+55 Versatility","121 - 202 Damage
Speed 1.80
(89.7 damage per second)
+79 Agility
+1,572 Stamina
+36 Haste
+56 Versatility","124 - 208 Damage
Speed 1.80
(92.2 damage per second)
+81 Agility
+1,627 Stamina
+37 Haste
+57 Versatility","128 - 214 Damage
Speed 1.80
(95.0 damage per second)
+84 Agility
+1,684 Stamina
+37 Haste
+58 Versatility",https://www.wowhead.com/item=193756
Snakebite Recurve,158370,"207 - 310 Damage
Speed 3.00
(86.1 damage per second)
+144 Agility
+2,794 Stamina
+104 Critical Strike
+74 Versatility","213 - 319 Damage
Speed 3.00
(88.6 damage per second)
+148 Agility
+2,896 Stamina
+105 Critical Strike
+75 Versatility","219 - 328 Damage
Speed 3.00
(91.1 damage per second)
+152 Agility
+3,002 Stamina
+107 Critical Strike
+76 Versatility","227 - 341 Damage
Speed 3.00
(94.7 damage per second)
+158 Agility
+3,143 Stamina
+109 Critical Strike
+77 Versatility","234 - 351 Damage
Speed 3.00
(97.4 damage per second)
+162 Agility
+3,254 Stamina
+110 Critical Strike
+78 Versatility","240 - 361 Damage
Speed 3.00
(100.1 damage per second)
+167 Agility
+3,369 Stamina
+112 Critical Strike
+79 Versatility",https://www.wowhead.com/item=158370
Spaulders of Prime Emperor,159310,"170 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+78 Critical Strike
+55 Versatility","173 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+79 Critical Strike
+56 Versatility","177 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+80 Critical Strike
+57 Versatility","182 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+82 Critical Strike
+58 Versatility","185 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+83 Critical Strike
+58 Versatility","189 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+84 Critical Strike
+59 Versatility",https://www.wowhead.com/item=159310
Speakeasy Shroud,251132,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+58 Critical Strike
+41 Mastery","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+59 Critical Strike
+42 Mastery","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+60 Critical Strike
+42 Mastery","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+61 Critical Strike
+43 Mastery","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+62 Critical Strike
+44 Mastery","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+63 Critical Strike
+44 Mastery",https://www.wowhead.com/item=251132
Staff of the Lightning Serpent,158372,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 Intellect
+2,794 Stamina
+100 Critical Strike
+77 Mastery","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 Intellect
+2,896 Stamina
+102 Critical Strike
+78 Mastery","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 Intellect
+3,002 Stamina
+103 Critical Strike
+79 Mastery","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 Intellect
+3,143 Stamina
+105 Critical Strike
+81 Mastery","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 Intellect
+3,254 Stamina
+106 Critical Strike
+82 Mastery","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 Intellect
+3,369 Stamina
+107 Critical Strike
+83 Mastery",https://www.wowhead.com/item=158372
Stormbound Emblem of Dazar,273649,"+137 Intellect
Use: Channel for 2 sec as the wind answers Dazar's command, increasing your Haste by 929 up to 20 sec. (2 Min Cooldown)","+141 Intellect
Use: Channel for 2 sec as the wind answers Dazar's command, increasing your Haste by 942 up to 20 sec. (2 Min Cooldown)","+145 Intellect
Use: Channel for 2 sec as the wind answers Dazar's command, increasing your Haste by 955 up to 20 sec. (2 Min Cooldown)","+150 Intellect
Use: Channel for 2 sec as the wind answers Dazar's command, increasing your Haste by 972 up to 20 sec. (2 Min Cooldown)","+154 Intellect
Use: Channel for 2 sec as the wind answers Dazar's command, increasing your Haste by 984 up to 20 sec. (2 Min Cooldown)","+159 Intellect
Use: Channel for 2 sec as the wind answers Dazar's command, increasing your Haste by 997 up to 20 sec. (2 Min Cooldown)",https://www.wowhead.com/item=273649
Strand of Warding Fangs,273781,"+1,572 Stamina
+193 Critical Strike
+146 Haste","+1,629 Stamina
+197 Critical Strike
+149 Haste","+1,689 Stamina
+201 Critical Strike
+152 Haste","+1,768 Stamina
+206 Critical Strike
+156 Haste","+1,830 Stamina
+210 Critical Strike
+159 Haste","+1,895 Stamina
+214 Critical Strike
+162 Haste",https://www.wowhead.com/item=273781
